Month,Paper Count
1995-01,3
1995-02,0
1995-03,2
1995-04,1
1995-05,5
1995-06,2
1995-07,1
1995-08,2
1995-09,0
1995-10,3
1995-11,1
1995-12,7
1996-01,1
1996-02,2
1996-03,4
1996-04,3
1996-05,6
1996-06,2
1996-07,0
1996-08,2
1996-09,2
1996-10,2
1996-11,1
1996-12,3
1997-01,2
1997-02,0
1997-03,2
1997-04,1
1997-05,2
1997-06,2
1997-07,3
1997-08,0
1997-09,2
1997-10,1
1997-11,3
1997-12,2
1998-01,2
1998-02,0
1998-03,3
1998-04,0
1998-05,1
1998-06,2
1998-07,0
1998-08,5
1998-09,6
1998-10,5
1998-11,2
1998-12,4
1999-01,6
1999-02,2
1999-03,3
1999-04,1
1999-05,1
1999-06,6
1999-07,2
1999-08,3
1999-09,5
1999-10,2
1999-11,1
1999-12,1
2000-01,2
2000-02,7
2000-03,54
2000-04,4
2000-05,14
2000-06,6
2000-07,14
2000-08,3
2000-09,7
2000-10,4
2000-11,6
2000-12,4
2001-01,3
2001-02,3
2001-03,3
2001-04,2
2001-05,8
2001-06,14
2001-07,8
2001-08,2
2001-09,7
2001-10,5
2001-11,5
2001-12,7
2002-01,5
2002-02,19
2002-03,10
2002-04,9
2002-05,7
2002-06,9
2002-07,28
2002-08,6
2002-09,5
2002-10,6
2002-11,13
2002-12,3
2003-01,6
2003-02,7
2003-03,5
2003-04,2
2003-05,26
2003-06,12
2003-07,16
2003-08,6
2003-09,9
2003-10,9
2003-11,16
2003-12,19
2004-01,2
2004-02,11
2004-03,10
2004-04,12
2004-05,35
2004-06,6
2004-07,16
2004-08,12
2004-09,8
2004-10,10
2004-11,12
2004-12,31
2005-01,13
2005-02,17
2005-03,11
2005-04,26
2005-05,11
2005-06,9
2005-07,15
2005-08,9
2005-09,10
2005-10,13
2005-11,12
2005-12,10
2006-01,16
2006-02,9
2006-03,9
2006-04,10
2006-05,20
2006-06,13
2006-07,17
2006-08,10
2006-09,14
2006-10,21
2006-11,21
2006-12,9
2007-01,12
2007-02,9
2007-03,11
2007-04,21
2007-05,34
2007-06,8
2007-07,14
2007-08,11
2007-09,20
2007-10,14
2007-11,16
2007-12,23
2008-01,16
2008-02,13
2008-03,24
2008-04,23
2008-05,30
2008-06,30
2008-07,19
2008-08,10
2008-09,30
2008-10,26
2008-11,24
2008-12,32
2009-01,20
2009-02,30
2009-03,49
2009-04,39
2009-05,32
2009-06,37
2009-07,37
2009-08,13
2009-09,34
2009-10,37
2009-11,25
2009-12,29
2010-01,37
2010-02,38
2010-03,38
2010-04,43
2010-05,38
2010-06,59
2010-07,36
2010-08,41
2010-09,31
2010-10,24
2010-11,33
2010-12,59
2011-01,23
2011-02,45
2011-03,45
2011-04,35
2011-05,57
2011-06,191
2011-07,70
2011-08,59
2011-09,100
2011-10,90
2011-11,38
2011-12,33
2012-01,47
2012-02,96
2012-03,86
2012-04,72
2012-05,58
2012-06,206
2012-07,165
2012-08,41
2012-09,62
2012-10,147
2012-11,50
2012-12,105
2013-01,309
2013-02,289
2013-03,509
2013-04,92
2013-05,58
2013-06,67
2013-07,73
2013-08,51
2013-09,90
2013-10,60
2013-11,53
2013-12,79
2014-01,197
2014-02,92
2014-03,47
2014-04,79
2014-05,110
2014-06,77
2014-07,73
2014-08,65
2014-09,53
2014-10,62
2014-11,90
2014-12,82
2015-01,63
2015-02,83
2015-03,89
2015-04,78
2015-05,101
2015-06,95
2015-07,102
2015-08,80
2015-09,96
2015-10,75
2015-11,129
2015-12,122
2016-01,87
2016-02,133
2016-03,124
2016-04,185
2016-05,162
2016-06,220
2016-07,154
2016-08,154
2016-09,148
2016-10,166
2016-11,216
2016-12,195
2017-01,138
2017-02,142
2017-03,241
2017-04,215
2017-05,289
2017-06,221
2017-07,259
2017-08,228
2017-09,307
2017-10,239
2017-11,335
2017-12,201
2018-01,237
2018-02,339
2018-03,296
2018-04,332
2018-05,439
2018-06,400
2018-07,342
2018-08,266
2018-09,422
2018-10,421
2018-11,468
2018-12,315
2019-01,299
2019-02,295
2019-03,350
2019-04,399
2019-05,563
2019-06,463
2019-07,363
2019-08,302
2019-09,567
2019-10,390
2019-11,435
2019-12,327
2020-01,352
2020-02,446
2020-03,403
2020-04,439
2020-05,495
2020-06,565
2020-07,522
2020-08,495
2020-09,775
2020-10,1102
2020-11,861
2020-12,959
2021-01,735
2021-02,987
2021-03,1012
2021-04,1027
2021-05,975
2021-06,1300
2021-07,1019
2021-08,894
2021-09,1128
2021-10,1319
2021-11,1038
2021-12,1082
2022-01,907
2022-02,1105
2022-03,1268
2022-04,1092
2022-05,1431
2022-06,1362
2022-07,1181
2022-08,943
2022-09,1204
2022-10,1730
2022-11,1422
2022-12,1151
2023-01,1054
2023-02,1461
2023-03,1632
2023-04,1352
2023-05,2381
2023-06,1904
2023-07,1642
2023-08,1808
2023-09,1861
2023-10,2519
2023-11,2140
2023-12,2083
2024-01,1952
2024-02,2753
2024-03,2573
2024-04,2414
2024-05,2806
2024-06,3249
2024-07,2689
2024-08,2384
2024-09,2642
2024-10,3809
2024-11,2644
2024-12,3069
2025-01,2475
2025-02,3728
2025-03,2892
